variant,Bypass_Rate_%,True_ASR_%,Detection_Rate,FPR_%,TP,FN,FP,TN,successful_attack_count
Full Weighted Model,83.33,0.0,0.1667,0.0,5,25,0,23,0
-No Regex,86.67,0.0,0.1333,0.0,4,26,0,23,0
-No Keyword,86.67,0.0,0.1333,0.0,4,26,0,23,0
-No Semantic,93.33,0.0,0.0667,0.0,2,28,0,23,0
-No Intent,90.0,0.0,0.1,0.0,3,27,0,23,0
-No Roleplay,90.0,0.0,0.1,0.0,3,27,0,23,0
-No Instruction Shift,83.33,0.0,0.1667,0.0,5,25,0,23,0
-No Objective Conflict,83.33,0.0,0.1667,0.0,5,25,0,23,0
-No Perplexity,86.67,0.0,0.1333,0.0,4,26,0,23,0
