variant,Bypass_Rate_%,True_ASR_%,Detection_Rate,FPR_%,TP,FN,FP,TN,successful_attack_count
Full,6.67,0.0,0.9333,13.04,28,2,3,20,0
-No Regex,6.67,0.0,0.9333,13.04,28,2,3,20,0
-No Keyword,6.67,0.0,0.9333,13.04,28,2,3,20,0
-No Semantic,66.67,23.33,0.3333,0.0,10,20,0,23,7
-No Intent,6.67,0.0,0.9333,13.04,28,2,3,20,0
-No Roleplay,6.67,0.0,0.9333,13.04,28,2,3,20,0
-No Instruction Shift,6.67,0.0,0.9333,13.04,28,2,3,20,0
-No Objective Conflict,6.67,0.0,0.9333,13.04,28,2,3,20,0
-No Perplexity,6.67,0.0,0.9333,13.04,28,2,3,20,0
