component,model,device,n,mean_ms_per_prompt,median_ms_per_prompt,p95_ms_per_prompt,std_ms,min_ms,max_ms
minilm_semantic,sentence-transformers/all-MiniLM-L6-v2,cpu,50,14.731,12.69,26.305,5.525,9.491,28.436
distilgpt2_perplexity,distilgpt2,cpu,50,34.278,21.348,88.533,30.213,15.491,158.302
method_a_full_sanitize,context_aware (all 8 signals + hard triggers),cpu,50,47.135,31.667,117.952,35.121,25.316,182.096
regex_sanitize,regex,cpu,50,0.13,0.046,0.524,0.189,0.034,0.991
keyword_sanitize,keyword,cpu,50,0.015,0.009,0.04,0.012,0.008,0.067
minilm_plus_distilgpt2,MiniLM + DistilGPT-2 (sum of separate timings),cpu,50,49.009,32.696,114.84,35.458,25.287,186.738
